Immobilienart,Region,Zeitabschnitt,"Index final(Basis: 2010_1 = 100)"
gebrauchte Eigenheime,Bremer Umland,2013_3,"119,65"
gebrauchte Eigenheime,Bremer Umland,2013_4,"120,85"
gebrauchte Eigenheime,Bremer Umland,2014_1,"121,29"
gebrauchte Eigenheime,Bremer Umland,2014_2,"123,05"
gebrauchte Eigenheime,Bremer Umland,2014_3,"125,25"
gebrauchte Eigenheime,Bremer Umland,2014_4,"126,25"
gebrauchte Eigenheime,Bremer Umland,2015_1,"126,96"
gebrauchte Eigenheime,Bremer Umland,2015_2,"127,96"
gebrauchte Eigenheime,Bremer Umland,2015_3,"130,42"
gebrauchte Eigenheime,Bremer Umland,2015_4,"135,61"
gebrauchte Eigenheime,Bremer Umland,2016_1,"141,61"
gebrauchte Eigenheime,Bremer Umland,2016_2,"145,79"
gebrauchte Eigenheime,Bremer Umland,2016_3,"148,77"
gebrauchte Eigenheime,Bremer Umland,2016_4,"152,23"
gebrauchte Eigenheime,Bremer Umland,2017_1,"153,48"
gebrauchte Eigenheime,Bremer Umland,2017_2,"155,7"
gebrauchte Eigenheime,Bremer Umland,2017_3,"158,28"
gebrauchte Eigenheime,Bremer Umland,2017_4,"162,26"
gebrauchte Eigenheime,Bremer Umland,2018_1,"163,92"
gebrauchte Eigenheime,Bremer Umland,2018_2,"165,02"
gebrauchte Eigenheime,Bremer Umland,2018_3,
gebrauchte Eigenheime,Bremer Umland,2018_4,
gebrauchte Eigenheime,Bremer Umland,2019_1,
gebrauchte Eigenheime,Bremer Umland,2019_2,
gebrauchte Eigenheime,Bremer Umland,2019_3,
gebrauchte Eigenheime,Bremer Umland,2019_4,
gebrauchte Eigenheime,Bremer Umland,2020_1,
gebrauchte Eigenheime,Bremer Umland,2020_2,
gebrauchte Eigenheime,Bremer Umland,2020_3,
gebrauchte Eigenheime,Bremer Umland,2020_4,
gebrauchte Eigenheime,Bremer Umland,2021_1,
gebrauchte Eigenheime,Bremer Umland,2021_2,
gebrauchte Eigenheime,Bremer Umland,2021_3,
gebrauchte Eigenheime,Bremer Umland,2021_4,
gebrauchte Eigenheime,Mittleres Niedersachsen,2000_1,
gebrauchte Eigenheime,Mittleres Niedersachsen,2000_2,"115,26"
gebrauchte Eigenheime,Mittleres Niedersachsen,2000_3,"112,87"
gebrauchte Eigenheime,Mittleres Niedersachsen,2000_4,"112,6"
gebrauchte Eigenheime,Mittleres Niedersachsen,2001_1,"113,39"
gebrauchte Eigenheime,Mittleres Niedersachsen,2001_2,"114,05"
gebrauchte Eigenheime,Mittleres Niedersachsen,2001_3,"113,73"
gebrauchte Eigenheime,Mittleres Niedersachsen,2001_4,"112,84"
gebrauchte Eigenheime,Mittleres Niedersachsen,2002_1,"111,94"
gebrauchte Eigenheime,Mittleres Niedersachsen,2002_2,"110,63"
gebrauchte Eigenheime,Mittleres Niedersachsen,2002_3,"109,41"
gebrauchte Eigenheime,Mittleres Niedersachsen,2002_4,"108,64"
gebrauchte Eigenheime,Mittleres Niedersachsen,2003_1,"107,81"
gebrauchte Eigenheime,Mittleres Niedersachsen,2003_2,"107,59"
gebrauchte Eigenheime,Mittleres Niedersachsen,2003_3,"107,35"
gebrauchte Eigenheime,Mittleres Niedersachsen,2003_4,"106,54"
gebrauchte Eigenheime,Mittleres Niedersachsen,2004_1,"106,06"
gebrauchte Eigenheime,Mittleres Niedersachsen,2004_2,"105,76"
gebrauchte Eigenheime,Mittleres Niedersachsen,2004_3,"104,01"
gebrauchte Eigenheime,Mittleres Niedersachsen,2004_4,"102,36"
gebrauchte Eigenheime,Mittleres Niedersachsen,2005_1,"102,77"
gebrauchte Eigenheime,Mittleres Niedersachsen,2005_2,"103,93"
gebrauchte Eigenheime,Mittleres Niedersachsen,2005_3,"103,34"
gebrauchte Eigenheime,Mittleres Niedersachsen,2005_4,"102,9"
gebrauchte Eigenheime,Mittleres Niedersachsen,2006_1,"102,65"
gebrauchte Eigenheime,Mittleres Niedersachsen,2006_2,"101,38"
