Immobilienart;Region;Zeitabschnitt;Anzahl_Mittel;Index_final
gebrauchte Eigenheime;4105;2010_2;356,3333333;100,4655373
gebrauchte Eigenheime;4105;2010_3;444,3333333;100,2618677
gebrauchte Eigenheime;4105;2010_4;399,3333333;100,7760565
gebrauchte Eigenheime;4105;2011_1;246;102,1349092
gebrauchte Eigenheime;4105;2011_2;320,5;102,6524616
gebrauchte Eigenheime;4105;2011_3;431;102,458373
gebrauchte Eigenheime;4105;2011_4;419;103,2297965
gebrauchte Eigenheime;4105;2012_1;388,5;104,8685584
gebrauchte Eigenheime;4105;2012_2;426,5;107,0247216
gebrauchte Eigenheime;4105;2012_3;477;108,9116407
gebrauchte Eigenheime;4105;2012_4;439;109,9792735
gebrauchte Eigenheime;4105;2013_1;371;110,9471262
gebrauchte Eigenheime;4105;2013_2;479,5;112,1279137
gebrauchte Eigenheime;4105;2013_3;471;113,4238701
gebrauchte Eigenheime;4105;2013_4;498;114,1871231
gebrauchte Eigenheime;4105;2014_1;318;115,4011314
gebrauchte Eigenheime;4105;2014_2;410,5;118,3198444
gebrauchte Eigenheime;4105;2014_3;462;119,171077
gebrauchte Eigenheime;4105;2014_4;451;118,4160561
gebrauchte Eigenheime;4105;2015_1;432,5;118,9986845
gebrauchte Eigenheime;4105;2015_2;465;121,4476975
gebrauchte Eigenheime;4105;2015_3;440,5;125,244434
gebrauchte Eigenheime;4105;2015_4;456;129,0522776
gebrauchte Eigenheime;4105;2016_1;428;132,75754
gebrauchte Eigenheime;4105;2016_2;419;136,7873958
gebrauchte Eigenheime;4105;2016_3;401;139,9363149
gebrauchte Eigenheime;4105;2016_4;417;141,2265966
gebrauchte Eigenheime;4105;2017_1;431;140,8696092
gebrauchte Eigenheime;4105;2017_2;406;141,8267672
gebrauchte Eigenheime;4105;2017_3;460;146,5187169
gebrauchte Eigenheime;4105;2017_4;442;149,3946073
gebrauchte Eigenheime;4105;2018_1;471;150,2884574
gebrauchte Eigenheime;4105;2018_2;539;152,644293
gebrauchte Eigenheime;4105;2018_3;527;152,9196879
gebrauchte Eigenheime;4105;2018_4;320;
gebrauchte Eigenheime;4105;2019_1;;
gebrauchte Eigenheime;4105;2019_2;;
gebrauchte Eigenheime;4105;2019_3;;
gebrauchte Eigenheime;4105;2019_4;;
gebrauchte Eigenheime;4105;2020_1;;
gebrauchte Eigenheime;4105;2020_2;;
gebrauchte Eigenheime;4105;2020_3;;
gebrauchte Eigenheime;4105;2020_4;;
gebrauchte Eigenheime;4105;2021_1;;
gebrauchte Eigenheime;4105;2021_2;;
gebrauchte Eigenheime;4105;2021_3;;
gebrauchte Eigenheime;4105;2021_4;;
gebrauchte Eigenheime;4106;2000_1;196;
gebrauchte Eigenheime;4106;2000_2;206;104,0973642
gebrauchte Eigenheime;4106;2000_3;221;101,8939017
gebrauchte Eigenheime;4106;2000_4;194;101,020378
gebrauchte Eigenheime;4106;2001_1;219;101,4719814
gebrauchte Eigenheime;4106;2001_2;222;101,6016484
gebrauchte Eigenheime;4106;2001_3;242;101,1320242
gebrauchte Eigenheime;4106;2001_4;176;99,78446895
gebrauchte Eigenheime;4106;2002_1;129;99,0655596
gebrauchte Eigenheime;4106;2002_2;123;100,0292266
gebrauchte Eigenheime;4106;2002_3;135;98,43158678
gebrauchte Eigenheime;4106;2002_4;247;96,86205524
gebrauchte Eigenheime;4106;2003_1;144;96,9508956
gebrauchte Eigenheime;4106;2003_2;212;97,42464499
gebrauchte Eigenheime;4106;2003_3;223;97,67226429
